order_id,payload,A_feasible,A_score,A_truck_dist,A_uav_dist,A_energy,A_time,A_completion_time,A_reward,A_penalty,B_feasible,B_score,B_truck_dist,B_uav_dist,B_energy,B_time,B_completion_time,B_wait,B_reward,B_launch,B_recover,B_failure_reason,C_feasible,C_best_score,C_best_drone,C_launch,C_recover,C_completion_time,C_reward,C_failure_reason,best_local_mode
DYN-BENCH-09,1.7,True,33.32603710107476,2221.7358067383175,0.0,33.32603710107476,0.0,3198.0506549538377,0.0,0.0,True,-925.4584529422783,3466.793099716937,1482.3752534236999,52.0531525959065,0.0,3181.59588047788,22.488394461815233,1000.0,DEP-TEST-01,STA-TEST-10,,True,0.043287109417995906,UAV-TEST-09,DEP-TEST-01,DEP-TEST-01,3094.747944186502,0.0,,B
DYN-BENCH-12,1.09,True,1.0462006171321085,69.74670780880723,0.0,1.0462006171321085,0.0,3067.6270732005337,0.0,0.0,True,-943.519701996636,388.43518863383224,712.5934622667363,5.850624890027496,0.0,3102.5711996972054,50.629673113336594,1000.0,STA-TEST-07,STA-TEST-07,,True,0.04331426101783808,UAV-TEST-09,DEP-TEST-01,STA-TEST-07,3121.4014177074155,0.0,,B
DYN-BENCH-13,3.28,True,362.020343610526,2991.689257826166,0.0,44.87533886739249,0.0,3244.7145004743134,0.0,317.14500474313354,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,payload_exceed,True,0.2401571583889654,UAV-TEST-10,DEP-TEST-01,STA-TEST-06,3148.958831386082,0.0,,C
DYN-BENCH-15,1.14,True,32.52705746087424,2168.470497391616,0.0,32.52705746087424,0.0,3194.8224543873707,0.0,0.0,True,-912.2850995897929,2380.4983665720783,1329.5279025763848,35.75408172682858,0.0,3220.642078888196,51.96081868337842,1000.0,STA-TEST-03,STA-TEST-04,,True,0.11748463739168852,UAV-TEST-09,DEP-TEST-01,STA-TEST-04,3307.1690654863337,0.0,,B
DYN-BENCH-18,1.09,True,11.513343959587255,767.5562639724837,0.0,11.513343959587255,0.0,3109.918561452878,0.0,0.0,True,-932.3796352616947,2152.568758614317,1474.8297646114545,32.33746953744427,0.0,3122.8182386181934,35.28289520086105,1000.0,STA-TEST-07,STA-TEST-03,,True,0.06268195987790054,UAV-TEST-09,DEP-TEST-01,STA-TEST-07,3156.603998231814,0.0,,B
DYN-BENCH-19,1.87,True,32.68287104684494,2178.8580697896623,0.0,32.68287104684494,0.0,3195.4520042296767,0.0,0.0,True,-928.0607253408173,2380.4983665720783,1014.201667264789,35.74476774138426,0.0,3184.3504463211043,36.194506917798435,1000.0,STA-TEST-03,STA-TEST-04,,True,0.11376407282343122,UAV-TEST-09,DEP-TEST-01,STA-TEST-04,3280.8266741475604,0.0,,B
DYN-BENCH-20,1.66,True,7.530984953755135,502.06566358367564,0.0,7.530984953755135,0.0,3093.8282220353744,0.0,0.0,True,-944.972996718889,1563.2687866673036,1042.873630145501,23.484339896062167,0.0,3101.7110388006927,31.542663385048854,1000.0,STA-TEST-07,DEP-TEST-01,,True,0.03807689471311387,UAV-TEST-09,DEP-TEST-01,STA-TEST-07,3102.9178507977267,0.0,,B
DYN-BENCH-21,1.24,True,21.854419485235766,1456.961299015718,0.0,21.854419485235766,0.0,3151.7006847888315,0.0,0.0,True,-932.1723664477813,2596.8165692237494,1614.7573720804035,39.01041284486262,0.0,3197.719021500979,28.817220707356,1000.0,STA-TEST-07,STA-TEST-05,,True,0.057719026575320104,UAV-TEST-09,DEP-TEST-01,STA-TEST-05,3162.978959357639,0.0,,B
DYN-BENCH-22,1.26,True,56.53421376226922,3768.9475841512813,0.0,56.53421376226922,0.0,3291.821065706138,0.0,0.0,True,-918.7331181477414,3556.761360790724,258.13254224544323,53.360254739986665,0.0,3271.867921705649,27.906627112271963,1000.0,STA-TEST-09,STA-TEST-09,,True,0.11615977081782085,UAV-TEST-09,DEP-TEST-01,STA-TEST-09,3334.4440913842136,0.0,,B
DYN-BENCH-23,1.07,True,38.92299764153112,2594.866509435408,0.0,38.92299764153112,0.0,3220.6646369354794,0.0,0.0,True,-929.2176418619144,2340.1554193486004,413.3213962189794,35.11628832713653,0.0,3205.8936709835916,35.66606981094901,1000.0,STA-TEST-04,STA-TEST-04,,True,0.1088542597379537,UAV-TEST-09,DEP-TEST-01,STA-TEST-04,3312.8723392371758,0.0,,B
DYN-BENCH-24,1.25,True,61.5639914235621,4104.26609490414,0.0,61.5639914235621,0.0,3312.14339969116,0.0,0.0,True,-877.9777315434173,3425.7726975419123,1111.9529840280015,51.42461925518244,0.0,3306.620236931213,70.59764920140015,1000.0,STA-TEST-10,STA-TEST-10,,True,0.08903701034556806,UAV-TEST-09,DEP-TEST-01,STA-TEST-10,3226.1165155772346,0.0,,B
DYN-BENCH-25,1.25,True,48.062987751727654,3204.1991834485098,0.0,48.062987751727654,0.0,3257.59388990597,0.0,0.0,True,-899.1514999913344,3593.1440451481008,1351.0836461944687,53.943281630114924,0.0,3255.9569115163304,46.90521837855067,1000.0,STA-TEST-02,STA-TEST-09,,True,0.10643437246614815,UAV-TEST-09,DEP-TEST-01,STA-TEST-02,3263.5496095325448,0.0,,B
DYN-BENCH-26,1.47,True,21.650905755528843,1443.3937170352563,0.0,21.650905755528843,0.0,3150.878407093046,0.0,0.0,True,-934.0965398182578,2596.8165692237494,1576.3552728251104,39.0063444371507,0.0,3136.578917206262,26.897115744591474,1000.0,STA-TEST-07,STA-TEST-05,,True,0.06447463014133,UAV-TEST-09,DEP-TEST-01,STA-TEST-07,3143.343006903256,0.0,,B
DYN-BENCH-27,1.29,True,58.341464908105245,3889.4309938736833,0.0,58.341464908105245,0.0,3299.1230905377993,0.0,0.0,True,-894.3029622531205,3425.7726975419123,785.6700388819457,51.41353580278218,0.0,3290.3060896739103,54.283501944097225,1000.0,STA-TEST-10,STA-TEST-10,,True,0.081632379245492,UAV-TEST-09,DEP-TEST-01,STA-TEST-10,3218.936817070319,0.0,,B
DYN-BENCH-28,1.28,True,45.92032044625846,3061.3546964172306,0.0,45.92032044625846,0.0,3248.936648267711,0.0,0.0,True,-888.3160841611792,4246.9861369138835,1813.9847072804296,63.767429491929164,0.0,3283.5530463835084,47.91648634689159,1000.0,STA-TEST-04,STA-TEST-08,,True,0.16114169731635894,UAV-TEST-09,DEP-TEST-01,STA-TEST-08,3382.5970028585953,0.0,,B
DYN-BENCH-29,1.73,True,44.975157956773074,2998.3438637848717,0.0,44.975157956773074,0.0,3245.117809926356,0.0,0.0,True,-910.235417265535,3593.1440451481008,1129.5112721527998,53.937983057997855,0.0,3257.0845277739018,35.82659967646714,1000.0,STA-TEST-02,STA-TEST-09,,True,0.11919207938829791,UAV-TEST-09,DEP-TEST-01,STA-TEST-09,3299.0003606127875,0.0,,B
DYN-BENCH-30,1.12,True,36.32946355548189,2421.9642370321258,0.0,36.32946355548189,0.0,3210.1857113352803,0.0,0.0,True,-925.4508790488711,2380.4983665720783,1066.369185988699,35.74623809713481,0.0,3204.0928168374744,38.802882853994106,1000.0,STA-TEST-03,STA-TEST-04,,True,0.10894491664635361,UAV-TEST-09,DEP-TEST-01,STA-TEST-04,3303.186088341265,0.0,,B
