order_id,payload,A_feasible,A_score,A_truck_dist,A_uav_dist,A_energy,A_time,A_completion_time,A_reward,A_penalty,B_feasible,B_score,B_truck_dist,B_uav_dist,B_energy,B_time,B_completion_time,B_wait,B_reward,B_launch,B_recover,B_failure_reason,C_feasible,C_best_score,C_best_drone,C_launch,C_recover,C_completion_time,C_reward,C_failure_reason,best_local_mode
ORD-115929A7-3,1.748921,True,36.68296271593387,2445.5308477289245,0.0,36.68296271593387,0.0,218.1177575176096,0.0,0.0,True,-364.11905423391124,2198.802150909197,2018.9337069249573,33.34548401527647,0.0,164.05614152925023,2.535461750812317,400.0,DEP-TEST-01,STA-TEST-10,,True,0.08241617963456348,UAV-TEST-04,DEP-TEST-01,STA-TEST-10,126.48811007830574,0.0,,B
ORD-1A933420-16,1.98464,True,41.62334911817019,2774.889941211346,0.0,41.62334911817019,0.0,243.45307240087277,0.0,0.0,True,-358.74500003574656,2674.4752926802644,2441.206475060709,40.57651116827958,0.0,190.40177818389427,0.6784887959738484,400.0,DEP-TEST-01,STA-TEST-03,,True,0.10621850036136145,UAV-TEST-04,DEP-TEST-01,STA-TEST-03,146.97916080969554,0.0,,B
ORD-2E93EB29-10,1.638228,True,72.70572248866812,4847.048165911207,0.0,72.70572248866812,0.0,402.8498589162467,0.0,0.0,True,-335.4195725797432,3608.1463681563396,4825.404916441498,54.31626227725389,0.0,248.87786286251173,10.264165143002913,400.0,DEP-TEST-01,STA-TEST-04,,True,0.19406675490879594,UAV-TEST-04,DEP-TEST-01,STA-TEST-04,238.87786286251173,0.0,,B
ORD-43D9FCA0-4,1.310946,True,68.06151546138425,4537.4343640922825,0.0,68.06151546138425,0.0,379.0334126224833,0.0,0.0,True,-334.0224577830004,4323.6212799106615,2867.0241757897547,65.36852078023729,0.0,311.3939060401844,0.6090214367623332,400.0,STA-TEST-05,STA-TEST-01,,True,0.15619478421526523,UAV-TEST-04,DEP-TEST-01,STA-TEST-01,224.6957717563195,0.0,,B
ORD-5AD8F1CB-6,1.364373,True,10.123255618495433,674.8837078996954,0.0,10.123255618495433,0.0,81.91413137689965,0.0,0.0,True,-380.59019709649743,1174.8335980334714,1023.7386638486871,17.66108039373856,0.0,75.44909533918243,1.7487225097640007,400.0,DEP-TEST-01,STA-TEST-07,,True,0.038576423236485725,UAV-TEST-04,DEP-TEST-01,STA-TEST-07,65.44909533918243,0.0,,B
ORD-5C566AAE-19,0.52938,True,25.531745117979444,1702.1163411986295,0.0,25.531745117979444,0.0,160.93202624604842,0.0,0.0,True,-368.2307084994806,1287.219102604567,1688.7299499130331,19.36855324840996,0.0,117.07704156482697,12.400738252109448,400.0,DEP-TEST-01,STA-TEST-05,,True,0.06026670934145192,UAV-TEST-04,DEP-TEST-01,STA-TEST-05,107.07704156482697,0.0,,B
ORD-60247FE4-11,7.715134,True,43.80582750644053,2920.388500429369,0.0,43.80582750644053,0.0,254.64526926379762,0.0,0.0,True,-343.63446879219674,3701.9489651645476,1359.723524570365,55.792130414983156,0.0,250.37780369816306,0.573400792820081,400.0,STA-TEST-02,STA-TEST-04,,True,0.59328866322479,UAV-TEST-09,DEP-TEST-01,STA-TEST-04,195.03204782838162,0.0,,B
ORD-8B103C37-9,1.905183,True,57.135466759867214,3809.031117324481,0.0,57.135466759867214,0.0,323.0023936403447,0.0,0.0,True,-345.99714095722305,3210.8559386074467,3701.306733845162,48.32247580571086,0.0,215.57873392505692,5.680383237066081,400.0,DEP-TEST-01,STA-TEST-09,,True,0.1596367265991578,UAV-TEST-04,DEP-TEST-01,STA-TEST-09,205.57873392505692,0.0,,B
ORD-98C051FD-7,0.968145,True,64.14124648233664,4276.083098822443,0.0,64.14124648233664,0.0,358.92946914018796,0.0,0.0,True,-343.7403143980989,3608.1463681563396,4384.977489155121,54.28975554250464,0.0,232.89477164963537,1.9699300593964608,400.0,DEP-TEST-01,STA-TEST-04,,True,0.16756002015955326,UAV-TEST-04,DEP-TEST-01,STA-TEST-04,222.89477164963537,0.0,,B
ORD-9BD1F880-12,1.27849,True,53.88299640108162,3592.199760072108,0.0,53.88299640108162,0.0,306.3230584670852,0.0,0.0,True,-345.4009399334133,3083.5200661066733,3118.7927088870933,46.81053179724937,0.0,226.40592185041766,7.788528269337306,400.0,DEP-TEST-01,STA-TEST-06,,True,0.12142564679554214,UAV-TEST-04,DEP-TEST-01,STA-TEST-06,174.98238366143596,0.0,,B
