gen,best,avg,median,worst,feasible_count,hard_feasible_count,soft_penalty_count,A_count,B_count,C_count,individuals_with_B,individuals_with_C,individuals_all_A,b_success,b_infeasible,b_repaired,c_success,c_infeasible,c_repaired,best_A_count,best_B_count,best_C_count,truck_distance,uav_distance,energy,plan_completion_time,air_ground_reward,penalty,elapsed,avg_B_candidate_score,b_candidate_accepted_count,b_decoded_success_count,b_failure_reasons,b_gene_count_in_population,b_individual_count,best_B_candidate_score,c_candidate_accepted_count,c_decoded_success_count,c_failure_reasons,c_gene_count_in_population,closure_route_cost,delay_cost,early_stop_reason,early_stop_triggered,energy_cost,final_return_penalty,infeasible_penalty,last_improvement_gen,min_fitness,mutation_b_added,mutation_b_removed,no_improvement_count,orders_where_B_feasible,population_size,raw_truck_distance,raw_uav_distance,repair_penalty,residual_cost,seconds_per_generation,station_queue_penalty,time_cost,total_fitness,truck_distance_cost,uav_distance_cost,unserved_penalty,waiting_cost
1,1726.960214050018,71434.58140290597,33236.125726376864,209956.8089242657,7,7,25,251,77,24,32,15,0,67,10,0,14,10,27,9,2,0,23713.840660422775,4861.788845548321,355.8746066016093,2252.791226388288,2000.0,1000.5,67.33429384231567,-858.7462703388544,67,67,{'payload_exceed': 10},77,32,-940.3877903972912,14,14,"{'payload_exceed': 8, 'drone_not_at_independent_node': 2}",24,0.0,0.0,,False,355.8746066016093,0.0,0.0,-1,1726.960214050018,0,0,0,"['ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",32,23713.840660422775,4861.788845548321,1000.0,2.2737367544323206e-13,17.636860132217407,0.5,2252.791226388288,1726.960214050018,0.0,0.0,0.0,117.7943810601206
0,2136.0331617255947,110474.73969767056,4838.569126444876,702193.1839851198,0,0,30,174,43,23,25,8,2,32,11,0,2,21,49,6,2,0,24405.172609684192,5812.248480226373,366.2891687764772,2144.774075024687,2000.0,1000.5,28.85834240913391,-667.0665287362035,32,32,{'payload_exceed': 11},43,25,-949.0848397596723,2,2,"{'payload_exceed': 3, 'drone_not_at_independent_node': 18}",23,0.0,447.74075024687136,,False,366.2891687764772,0.0,0.0,0,2136.0331617255947,0,0,0,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'ORD-STATIC-04', 'ORD-STATIC-09']",30,24405.172609684192,5812.248480226373,1000.0,-4.547473508864641e-13,17.636860132217407,0.5,2144.774075024687,2136.0331617255947,0.0,0.0,0.0,176.7291676775592
0,2567.008832577216,144143.0731468503,56096.23237834632,602285.6117888298,0,0,30,236,31,33,18,11,9,19,12,0,3,30,61,8,2,0,21115.47838656818,2396.4566173562894,316.8143771514586,2099.3716245579426,2000.0,2001.0,18.552398920059204,-847.2877999844898,19,19,{'payload_exceed': 12},31,18,-932.252879736411,3,3,"{'drone_not_at_independent_node': 24, 'payload_exceed': 6}",33,0.0,0.0,,False,316.8143771514586,0.0,0.0,0,2567.008832577216,1,1,0,"['DYN-BENCH-01', 'DYN-BENCH-03', 'ORD-STATIC-04']",30,21115.47838656818,2396.4566173562894,2000.0,0.0,17.636860132217407,1.0,2099.3716245579426,2567.008832577216,0.0,0.0,0.0,149.82283086781445
1,1564.626174816158,76871.53509029064,11364.889145186733,302584.30120700615,0,0,30,185,34,21,22,13,3,32,2,0,1,20,46,6,2,0,19488.30432474823,4075.8090504894735,292.5521667269758,1834.080095870841,2000.0,1000.5,35.17156386375427,-847.8802172446893,32,32,{'payload_exceed': 2},34,22,-929.4481495276336,1,1,"{'payload_exceed': 4, 'drone_not_at_independent_node': 16}",21,0.0,301.8014685268349,,False,292.5521667269758,0.0,0.0,0,1564.626174816158,8,5,0,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'ORD-STATIC-04', 'ORD-STATIC-09']",30,19488.30432474823,4075.8090504894735,1000.0,-2.2737367544323206e-13,6.313221454620361,0.5,1834.080095870841,1564.626174816158,0.0,0.0,0.0,135.69244369150624
1,2567.008832577216,57511.177040770155,5588.612607381756,204210.71850349422,0,0,30,264,22,14,16,10,9,18,4,0,2,12,62,8,2,0,21115.47838656818,2396.4566173562894,316.8143771514586,2099.3716245579426,2000.0,2001.0,24.13208270072937,-904.3905756748526,18,18,{'payload_exceed': 4},22,16,-932.252879736411,2,2,"{'drone_not_at_independent_node': 10, 'payload_exceed': 2}",14,0.0,0.0,,False,316.8143771514586,0.0,0.0,0,2567.008832577216,11,8,0,"['DYN-BENCH-01', 'DYN-BENCH-03', 'ORD-STATIC-04']",30,21115.47838656818,2396.4566173562894,2000.0,0.0,5.580684185028076,1.0,2099.3716245579426,2567.008832577216,0.0,0.0,0.0,149.82283086781445
